"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
33,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","【Change Password】【Personal Info】这两个场景不用显示日历","2016-12-25 22:53:28"
49,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","ER图实例不全","2016-12-24 23:45:13"
53,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","ER图属性不全","2016-12-24 23:46:50"
70,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","可以通过框架钓鱼","2016-12-25 00:23:06"
71,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","可以通过框架钓鱼","2016-12-25 00:24:29"
72,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","查询中接收的主体参数可以移到URL中进行查询","2016-12-25 00:27:21"
119,"TMS","Database","598107049@qq.com","CONFIRMED"," ---","用户密码明文存储","2016-12-25 15:58:21"
120,"TMS","Database","598107049@qq.com","CONFIRMED"," ---","使用root权限连接数据库","2016-12-25 16:06:08"
121,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","ER图缺少外码设计","2016-12-25 16:20:22"
171,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","SRS中缺少对Comment的描述","2016-12-27 14:49:21"
3,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","director查看报告时报告信息的显示不在下方，而是新页面","2016-12-19 21:08:52"
87,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证Verify Task Request页面时，点击某一项任务信息时，修改Duration为负数时，出现异常界面","2016-12-25 10:38:08"
149,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","SRS文档中User Interface requirements部分出现Problem Words","2016-12-26 16:03:11"
101,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","验证Current Tasks页面时，呈交新报告时，输入start time大于finish time，修改成功","2016-12-25 11:33:32"
36,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","查看member信息的操作SRS和FS描述不符","2016-12-24 22:08:04"
89,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证Verify Task Request页面时，出现了不属于直接下属的成员的任务请求","2016-12-25 10:51:44"
150,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","SRS文档Performance Requirements部分Windows Platform不明确","2016-12-26 16:07:45"
102,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","验证Current Tasks页面时，呈交新报告时，输入start time为空，修改成功","2016-12-25 11:35:15"
103,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","验证Current Tasks页面时，呈交新报告时，输入start time格式不正确，修改成功","2016-12-25 11:38:40"
104,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","验证Current Tasks页面时，呈交新报告时，输入finish time格式不正确，修改成功","2016-12-25 11:40:30"
105,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","验证Current Tasks页面时，呈交新报告时，输入Description为空，修改成功","2016-12-25 11:42:40"
107,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","验证Current Tasks页面时，呈交新报告时，输入Description为空，修改成功","2016-12-25 11:42:40"
146,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","Tasks Management界面immediate higher director对非管理员的可见性与用户设计界面矛盾","2016-12-26 15:51:51"
95,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","验证Current Tasks页面时，编辑任务的完成进度超过100，修改成功","2016-12-25 11:12:11"
96,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","验证Current Tasks页面时，编辑任务的完成进度小于0，修改成功","2016-12-25 11:14:59"
78,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证Verify Task Request页面时，修改某一项任务信息时，修改任务名为空，却修改成功","2016-12-25 09:43:41"
82,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证Verify Task Request页面时，点击某一项任务信息时，修改finish date为空，出现异常界面","2016-12-25 10:06:52"
79,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证Verify Task Request页面时，修改某一项任务信息时，修改start date为错误格式，出现异常界面","2016-12-25 09:59:12"
83,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证Verify Task Request页面时，点击某一项任务信息时，修改finish date为当前系统之前的时间，修改成功","2016-12-25 10:20:19"
84,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证Verify Task Request页面时，点击某一项任务信息时，修改start time大于","2016-12-25 10:26:49"
147,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","member’s personal info界面info具体包含什么在用例里没有标明","2016-12-27 09:30:25"
100,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","验证Current Tasks页面时，呈交新报告时，输入date为空，修改成功","2016-12-25 11:31:27"
80,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证Verify Task Request页面时，修改某一项任务信息时，修改start date为空，出现异常界面","2016-12-25 10:01:50"
2,"TMS","Team Structure","598107049@qq.com","CONFIRMED"," ---","删除member失败","2016-12-19 19:18:22"
86,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证Verify Task Request页面时，点击某一项任务信息时，修改start time大于finish time，修改成功","2016-12-25 10:35:00"
148,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","Current Tasks界面在SRS缺少对应的用例","2016-12-26 16:00:57"
108,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","验证Current Tasks页面时，呈交新报告时，输入Description为空，修改成功","2016-12-25 11:43:17"
81,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证Verify Task Request页面时，点击某一项任务信息时，修改finish date为错误格式，出现异常界面","2016-12-25 10:04:22"
136,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","一组单选框在初始状态时没有一个被默认选中","2016-12-25 19:54:11"
112,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","5.25:文档错误，下载界面系统与文档不符","2016-12-25 12:20:39"
137,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","在输入框中输入空格没有提示输入有误","2016-12-25 19:57:35"
139,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","输入框中输入不符合格式的数据，输入完毕后没有提示输入不符合格式","2016-12-25 20:01:28"
138,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","输入框中不输入任何内容，未提示输入为空","2016-12-25 19:59:22"
140,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","没有把所有查询和操作放在右侧，结果放在左侧","2016-12-25 20:10:39"
169,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","FS中Set Director页面按钮描述和界面设计矛盾","2016-12-27 14:40:09"
161,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","FS中Member Info页面的界面原型和action描述不一致","2016-12-27 10:44:11"
141,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","列表内容不能明确表示含义","2016-12-25 20:15:15"
132,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","提交请求时，错误信息未对非法的输入或操作给出足够的提示说明","2016-12-25 19:43:13"
142,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","界面未明确给出用户信息","2016-12-25 20:17:47"
144,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","按钮触发后若填入信息有错没有明确报错","2016-12-25 20:26:14"
38,"TMS","Compatibility","598107049@qq.com","CONFIRMED"," ---","在操作系统Mac OS X10.8（Mountain Lion）（分辨率1600*900）上用Chrome45打开系统，页面迟迟加载不出来","2016-12-24 23:00:29"
93,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","5.9:文档错误，查看报告时如果没有报告，应该有提示","2016-12-25 11:10:13"
73,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在隐藏的文件夹","2016-12-25 00:29:03"
75,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","HTML注释中存在敏感信息","2016-12-25 00:32:47"
98,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","5.10:文档错误，查看task时如果没有task，应该有提示","2016-12-25 11:22:28"
133,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","对可能造成数据无法恢复的操作未要求用户确认","2016-12-25 19:45:38"
99,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","5.10:文档错误，查看task时如果没有task，应该有提示","2016-12-25 11:24:16"
134,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","按钮字符不能准确表述按钮功能","2016-12-25 19:50:09"
135,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","列表同列各项风格不统一","2016-12-25 19:52:46"
157,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","FS中页面名字设计不合理","2016-12-27 10:14:18"
37,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","Change Member’s Director按钮描述矛盾","2016-12-24 22:16:16"
39,"TMS","Compatibility","598107049@qq.com","CONFIRMED"," ---","在操作系统Mac OS X10.8（Mountain Lion）（分辨率1600*907）上用Firefox 46打开系统，首页上的直线被截断","2016-12-24 23:07:44"
40,"TMS","Compatibility","598107049@qq.com","CONFIRMED"," ---","在操作系统Mac OS X10.8（Mountain Lion）（分辨率1600*907）上用Firefox 48打开系统，首页上的直线被截断","2016-12-24 23:11:30"
152,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","要求在one web page实现所有功能不合理","2016-12-27 08:56:33"
118,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","需求文档中缺少对索引的需求","2016-12-25 15:20:16"
128,"TMS","Database","598107049@qq.com","CONFIRMED"," ---","系统与dailyreport表单的删除未集成","2016-12-25 16:58:20"
106,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","512:文档错误，“cancle”按钮没有描述","2016-12-25 11:42:40"
166,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","Modify Report在FS文档中缺少声明","2016-12-27 13:41:25"
168,"TMS","Performance","598107049@qq.com","CONFIRMED"," ---","FS文档中Download的按钮名字描述和界面设计不符","2016-12-27 14:27:13"
170,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","FS中Download Deliveries页面按钮描述和界面设计矛盾","2016-12-27 14:45:33"
172,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","FS中Comment页面按钮描述和界面设计矛盾","2016-12-27 15:02:58"
158,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","SRS和FS中关于界面原型的状态没有同步更新","2016-12-27 10:18:06"
159,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","Verify Application/Verify Task Request在SRS文档和FS文档中按钮设计矛盾","2016-12-27 10:37:36"
160,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","页面层次分类用高亮表示不合理","2016-12-27 10:40:28"
175,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","FS中Members页面按钮描述和界面设计矛盾","2016-12-27 15:10:19"
55,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","需求文档中对数据库的设计不全","2016-12-24 23:49:14"
174,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","FS中Reports页面按钮描述和界面设计矛盾","2016-12-27 15:08:16"
